model,fixture,config,status,stop_reason,steps,tool_calls,validated_findings,llm_findings,solved,expected_vuln,detected,loop_detected,watchdog_trips,wall_s,budget_tokens,budget_cost,llm_tokens_in,llm_tokens_out,llm_tokens_cached,llm_tokens_reasoning,llm_calls,leak_hit,leak_source,accessed_paths,error
claude-sonnet-4-5@claude-cli,web-011,claude_default,ok,ok,5,2,0,1,False,Insecure Temp File / Race Condition,0,0,0,32.47,91,0,38,53,113940,0,5,,,['C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-011-14540-7552546000000\\app.py'],
claude-sonnet-4-5@claude-cli,web-012,claude_default,ok,ok,9,5,0,1,False,Session Forgery,0,0,0,36.34,189,0,90,99,232757,0,9,,,"['**/*', 'C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-012-14540-7587015000000\\session.py']",
claude-sonnet-4-5@claude-cli,web-013,claude_default,ok,ok,10,7,0,1,False,SSTI,1,0,0,39.98,385,0,63,322,281497,0,10,,,"['./movies.py', './cdn_admin.js', './cdn/app.js', './cdn/main.mst']",
claude-sonnet-4-5@claude-cli,web-014,claude_default,ok,ok,7,4,0,1,False,Path Traversal,1,0,0,31.87,215,0,48,167,179460,0,7,,,"['./server.py', './nginx_site.conf']",
claude-sonnet-4-5@claude-cli,web-015,claude_default,ok,ok,6,3,0,1,False,Path Traversal,1,0,0,28.79,151,0,43,108,147361,0,6,,,['C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-015-14540-7701234000000\\server.py'],
claude-sonnet-4-5@claude-cli,web-016,claude_default,ok,ok,9,5,0,1,False,Command Injection,1,0,0,29.83,220,0,58,162,244961,0,9,,,"['./nvs_admin/login.php', './nvs_support/src/ping.php']",
claude-sonnet-4-5@claude-cli,web-017,claude_default,ok,ok,6,3,0,1,False,Auth Bypass,0,0,0,40.22,108,0,48,60,135112,0,6,,,['C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-017-14540-7763875000000\\server.py'],
claude-sonnet-4-5@claude-cli,web-018,claude_default,ok,ok,13,8,0,1,False,XSS,1,0,0,51.06,345,0,77,268,382298,0,13,,,"['./web/index.html', './bot/bot.js']",
claude-sonnet-4-5@claude-cli,web-019,claude_default,ok,ok,10,6,0,1,False,HTTP Request Smuggling,1,0,0,38.89,268,0,63,205,280703,0,10,,,"['C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-019-14540-7859156000000\\app.js', 'C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-019-14540-7859156000000\\nginx.conf', 'C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-019-14540-7859156000000\\myserver.conf']",
claude-sonnet-4-5@claude-cli,web-020,claude_default,ok,ok,7,4,0,1,False,SSTI,0,0,0,31.55,223,0,48,175,179818,0,7,,,"['./03-http.sql', './20-templates.sql']",
